Context,English,Chinese_Traditional,Chinese
"piece_sapling_seedturnip","Seed-turnip","種子-大頭菜","种子-芜菁"
"piece_sapling_seedturnip_description","Plant a turnip to get more seeds.","種植大頭菜以獲得更多種子","种植芜菁以获得更多的种子"
"piece_sapling_turnip","Turnip","大頭菜","芜菁"
"piece_sconce","Sconce","壁燈","壁灯"
"piece_sharpstakes","Sharp stakes","尖木樁防護柵欄","尖木桩防护栅栏"
"piece_ship_rudder","Use rudder","使用船舵","使用船舵"
"piece_sign","Sign","標記","标记"
"piece_sign_input","Enter text","輸入文字","输入文本"
"piece_smelter","Smelter","冶煉爐","冶炼炉"
"piece_smelter_add","Add","添加","添加"
"piece_smelter_additem","Add item","添加物品","添加物品"
"piece_smelter_empty","Empty","空","空"
"piece_smelter_ready","Processed","已加工","已加工"
"piece_smelter_reqroof","Requires a roof","需要一個屋頂","需要一个屋顶"
"piece_spinningwheel","Spinning wheel","紡車","纺车"
"piece_stakewall","Stakewall","尖木樁圍牆","尖木桩围墙"
"piece_stonearch","Stone arch","石拱","石拱"
"piece_stonecutter","Stonecutter","切石機","切石机"
"piece_stonefloor2x2","Stone floor 2x2","石地板 2x2","石地板 2x2"
"piece_stonefloor4x4","Stone floor 4x4","石地板 4x4","石地板 4x4"
"piece_stonepile","Stone pile","石頭堆","石头堆"
"piece_stonepillar","Stone pillar","石柱","石柱"
"piece_stonestair","Stone stair","石梯","石梯"
"piece_stonewall1x1","Stone wall 1x1","石牆 1x1","石墙 1x1"
"piece_stonewall2x1","Stone wall 2x1","石牆 2x1","石墙 2x1"
"piece_stonewall4x2","Stone wall 4x2","石牆 4x2","石墙 4x2"
"piece_stool","Stool","木凳","凳子"
"piece_table","Table","桌子","桌子"
"piece_throne01","Raven throne","烏鴉王座","乌鸦王座"
"piece_tombstone","Here rests","這裡安葬著","这里安葬着"
"piece_tombstone_recovered","Items recovered","物品已全部拾起","物品已全部拾起"
"piece_toofar","Too far","距離太遠了","太远了"
"piece_upgrade","improvement","改善","改善"
"piece_use","Use","使用","使用"
"piece_useitem","Use item","使用物品","使用物品"
"piece_vegvisir","Vegvisir","定位石","导向符文石"
"piece_windmill","Windmill","風車","风车"
"piece_woodbeam1","Wood beam 1m","木樑 1m","木梁 1米"
"piece_woodbeam2","Wood beam 2m","木樑 2m","木梁 2米"
"piece_woodbeam26","Wood beam 26°","木樑 26°","木梁 26°"
"piece_woodbeam45","Wood beam 45°","木樑 45°","木梁 45°"
"piece_wooddoor","Wood door","木門","木门"
"piece_wooddragon","Wood dragon adornment","木製龍頭裝飾","木制龙头装饰"
"piece_woodfence","Roundpole fence","圓柱形籬笆","圆柱形篱笆"
"piece_woodfloor1x1","Wood floor 1x1","木地板 1x1","木地板 1x1"
"piece_woodfloor2x2","Wood floor 2x2","木地板 2x2","木地板 2x2"
"piece_woodgate","Wood gate","木製大門","木制大门"
"piece_woodironbeam","Wood iron beam","鐵固木樑","铁固木梁"
"piece_woodironpole","Wood iron pole","鐵固木樁","铁固木桩"
"piece_woodledge","Wood ledge","木製壁架","Wood ledge"
"piece_woodpole","Wood pole 1m","木樁 1m","圆形木桩 1m"
"piece_woodpole2","Wood pole 2m","木樁 2m","圆形木桩 2m"
"piece_woodroof26","Thatch roof 26°","茅草屋頂 26°","茅草屋顶 26°"
"piece_woodroof45","Thatch roof 45°","茅草屋頂 45°","茅草屋顶 45°"
"piece_woodrooficorner","Thatch roof i-corner 26°","向內轉角茅草屋頂 26°","向内拐角茅草屋顶 26°"
"piece_woodrooficorner45","Thatch roof i-corner 45°","向內轉角茅草屋頂 45°","向内拐角茅草屋顶 45°"
"piece_woodroofocorner","Thatch roof o-corner 26°","向外轉角茅草屋頂 26°","向外拐角茅草屋顶 26°"
"piece_woodroofocorner45","Thatch roof o-corner 45°","向外轉角茅草屋頂 45°","向外拐角茅草屋顶 45°"
"piece_woodrooftop","Thatch roof ridge 26°","茅草屋頂梁 26°","茅草屋顶梁 26°"
"piece_woodrooftop45","Thatch roof ridge 45°","茅草屋頂梁 45°","茅草屋顶梁 45°"
"piece_woodstack","Wood stack","木材堆","木材堆"
"piece_woodstair","Wood stair","木製樓梯","木质楼梯"
"piece_woodstepladder","Wood ladder","木製梯子","木质梯子"
"piece_woodwall","Wood wall","木牆","木墙"
"piece_woodwallhalf","Wood wall half","半塊木牆","半块木墙"
"piece_woodwallroof","Wood wall 26°","木牆 26°","木墙 26°"
"piece_woodwallroof45","Wood wall 45°","木牆 45°","木墙 45°"
"piece_woodwallrooftop","Wood roof cross 26°","十字形木頂板 26°","十字形木顶板 26°"
"piece_woodwallrooftop45","Wood roof cross 45°","十字形木頂板 45°","十字形木顶板 45°"
"piece_workbench","Workbench","工作檯","工作台"
"piece_workbench_ext1","Chopping block","劈柴墩","劈柴墩"
"piece_workbench_ext2","Tanning rack","皮革架","皮革架"
"piece_workbench_ext3","Adze","扁斧","锛斧"
"piece_workbench_ext4","Tool shelf","工具架","工具架"
"prop_ancienttree","Ancient tree","古代木","很久很久以前，在奥丁都还不曾注意到英灵神殿时，曾经在这里也有着大量的居民，但他们已与世长辞。 去地下探索宝藏吧，但你要小心，因为它们很多还不知道自己已经死去，"
"prop_ancienttreeroot","Ancient root","古老之根","古老之根"
"prop_beech","Beech","山毛櫸","山毛榉"
"prop_beech_sapling","Beech sapling","山毛櫸樹苗","山毛榉树苗"
"prop_birch","Birch","樺樹","桦树"
"prop_dragonsummoningbowl_name","Sacrificial altar","獻祭壇","献祭坛"
"prop_eggcup","Offering bowl","獻祭碗","献祭碗"
"prop_eldersummoningbowl_name","Ancient bowl","上古之盎","上古之盎"
"prop_eldersummoningbowl_use","Burn item","燃燒物品","燃烧物品"
"prop_fir","Fir","冷杉","冷杉"
"prop_fir_sapling","Fir sapling","冷杉樹苗","冷杉树苗"
"prop_oak","Oak","橡樹","橡树"
"prop_offerbowl_makeoffer","Offer sacrifice","提供祭品","主动献祭"
"prop_pine","Pine","松樹","松树"
"prop_pine_sapling","Pine sapling","松樹苗","松树苗"
"prop_treelog","Log","原木","原木"
"prop_treestump","Stump","樹墩","树墩"
"raven_interact","Talk","對話","谈话"
"se_beltstrength_start","You feel stronger","你感覺變強了","你感觉变强了"
"se_beltstrength_tooltip","Increase max carry weight.","增加負重上限","增加负重上限"
"se_bonemass_name","Bonemass","邪骨惡靈","邪骨恶灵"
"se_bonemass_start","Bonemass spirit lives in you now.","邪骨惡靈附身在你身上","你被邪骨恶灵附身了。 "
"se_bonemass_tooltip","Resistance VS physical damage.","減少受到的物理傷害。","减少受到的物理伤害。 "
"se_burning_name","Burning","燃燒中","燃烧中"
"se_burning_start","You are burning","你正在燃燒","你烧着了。 "
"se_burning_tooltip","You are on fire!","你著火了！","你被点燃了！"
"se_cold_name","Cold","寒冷","冷"
"se_cold_repeat","You are cold","感到寒冷","你很冷"
"se_cold_start","You feel cold","感到有點冷","你觉得冷"
"se_cold_stop","You are getting warmer","身子暖和多了","你的身子暖和多了"
"se_cold_tooltip","Lower health and stamina regeneration.","生命值和耐力值恢復速度變慢。","生命值和耐力值恢复速度变慢。 "
"se_coldres_name","Cold resistance","抗冷","抗冷"
"se_corpserun_name","Corpse run","跑屍形態","跑尸形态"
"se_corpserun_tooltip","You can run longer and take significantly less damage from physical attacks.","你跑得更遠並且受到的物理傷害大大減少。","你跑得更快并且受到的物理伤害大大减少。 "
"se_cozy_name","Cozy","舒適","舒适"
"se_cozy_start","You feel cozy","你感覺舒適","你感觉舒适"
"se_eikthyr_name","Eikthyr","赤血靈鹿","赤血灵鹿"
"se_eikthyr_start","You activate the power of Eikthyr.","你啟動了赤血靈鹿的力量","你激活了赤血灵鹿的力量。 "
"se_eikthyr_tooltip","Your ability to run and jump is improved.","你跑和跳的技能更強了。","你跑和跳的技能更强了。 "
"se_encumbered_name","Encumbered","超載","被阻碍"
"se_encumbered_repeat","You are carrying too much","你負重太多","你负重太多"
"se_encumbered_start","You are carrying too much","你負重太多","你负重太多"
"se_encumbered_tooltip","You are encumbered and cannot run.","你負重太多並無法跑步。","你负重太多并无法跑步。 "
"se_fire_name","Fire","營火","火"
"se_fire_tooltip","Warm from a cozy fire.","舒適的火給你帶來溫暖。","舒适的火给你带来温暖。 "
"se_freezing_name","Freezing","嚴寒","冻僵"
"se_freezing_repeat","You are freezing","你快要凍僵了","你快要冻僵了"
"se_freezing_start","You are freezing","你快要凍僵了","你快要冻僵了"
"se_freezing_stop","You are getting warmer","身子暖和多了","你的身子暖和多了"
"se_freezing_tooltip","You are freezing, no health regeneration and significant lowered stamina regeneration.","你快要凍僵了，生命值不再恢復，耐力值恢復速度大大下降。","你快要冻僵了，生命值不再恢复，耐力值恢复速度大大下降。 "
"se_frost_name","Frost","冰凍","冰霜"
"se_frost_tooltip","You suffer from hypothermia.","你為體溫過低感到痛苦。","你为体温过低感到痛苦。 "
"se_frostres_name","Frost resistance","冰霜抗性","抗冰霜"
"se_frostres_tooltip","You are protected against the cold.","你不再畏懼嚴寒","你不再畏惧严寒"
"se_harpooned_name","Harpooned","被獵魚標槍插到了","被猎鱼标枪插到了"
"se_harpooned_tooltip","You have been harpooned.","你被獵魚標槍插到了","你被猎鱼标枪插到了。 "
"se_health","Health","生命值","生命值"
"se_healthpotionmedium_name","Health potion","治療藥水","治疗药水"
"se_healthpotionminor_name","Minor health potion","微型治療藥水","微型治疗药水"
"se_healthregen","Health regen","生命值恢復","生命值恢复"
"se_healthupgrade_name","Health upgrade","生命值升級","生命值升级"
"se_healthupgrade_stop","You feel stronger","你感覺變強了","你感觉变强了"
"se_jumpstamina","Jump stamina usage","跳躍耐力值消耗量","跳跃耐力值消耗量"
"se_lightning_name","Lightning","閃電","闪电"
"se_lightning_tooltip","Lightning damage.","閃電傷害","闪电伤害"
"se_max_carryweight","Max carry weight","最高負重值","最高负重值"
"se_mead_name","Mead","蜜酒","蜜酒"
"se_moder_name","Moder","冰霜飛龍","冰霜飞龙"
"se_moder_start","Even in death Moder still cries.","冰霜飛龍即使死去也在哀鳴","冰霜飞龙即使死去也在哀鸣。 "
"se_moder_tooltip","Always tailwind when sailing.","航行時總是順風。","航行时总是顺风。 "
"se_noisemod","Noise","噪音","噪音"
"se_poison_name","Poison","毒","毒药"
"se_poison_start","You have been poisoned","你中毒了","你中毒了"
"se_poison_tooltip","Poison damage.","毒傷害","毒性伤害"
"se_poisonres_name","Poison resistance","毒抗性","抗毒"
"se_potion_barleywine_tooltip","You take less damage from burning.","你受到的燃燒傷害減少了。","你受到的火性伤害减少了。 "
"se_potion_frostresist_tooltip","You are protected against the cold.","你不再畏懼寒冷。","你不再畏惧严寒。 "
"se_potion_healthmedium_tooltip","Health over time.","生命加時","生命加时"
"se_potion_healthminor_tooltip","Health over time.","生命加時","生命加时"
"se_potion_poisonresist_tooltip","You take less damage from poison.","你受到的毒傷害減少了。","你受到的毒性伤害减少了。 "
"se_potion_staminamedium_tooltip","Regenerate stamina fast.","耐力值恢復速度很快。","耐力值恢复速度很快。 "
"se_potion_staminaminor_tooltip","Regenerate stamina fast.","耐力值恢復速度很快。","耐力值恢复速度很快。 "
"se_potion_start","You drink the potion","你喝下了藥水","你喝下了药水"
"se_potion_tasty_tooltip","Lower health and stamina regeneration.","生命值和耐力值恢復速度變慢。","生命值和耐力值恢复速度变慢。 "
"se_rested_comfort","Comfort","舒適度","舒适程度"
"se_rested_name","Rested","充分休息","休息好了"
"se_rested_start","You feel rested","你感到充分休息","你感觉休息好了"
"se_rested_stop","You don't feel rested anymore","充分休息效果結束了","你的不再感觉休息好了"
"se_rested_tooltip","You feel rested, health and stamina regeneration is higher.","充分休息後，你的生命值和耐力值恢復速度加快。","你觉得休息好了，生命值和耐力值恢复速度加快。 "
"se_resting_name","Resting","正在休息","休息中"
"se_resting_start","Resting","休息中","休息中"
"se_resting_tooltip","You are currently resting, health and stamina regeneration is significantly higher.","正在休息中，生命值和耐力值恢復速度大大加快。","你正在休息中，生命值和耐力值恢复速度大大加快。 "
"se_runstamina","Run stamina usage","跑步耐力值消耗量","跑步耐力值消耗量"
"se_shelter_name","Shelter","庇護","庇护"
"se_shelter_start","You are sheltered","你已被遮蔽","你已被遮蔽"
"se_shelter_stop","You are exposed","沒有遮蔽","你暴露在室外"
"se_shelter_tooltip","You are sheltered from the weather.","有遮蔽，不被天氣所影響。","你有庇护所，不会被天气影响。 "
"se_smoked_name","Smoked","煙燻了","烟熏了"
"se_smoked_start","You can't breathe in the smoke","無法在煙霧中呼吸","你无法在烟雾中呼吸"
"se_smoked_tooltip","Breathing smoke is unhealthy.","吸入濃煙是不健康的。","吸入浓烟是不健康的。 "
"se_sneakmod","Sneak","潜行","潜行"
"se_softdeath_name","No skill drain","無技能懲罰","没有技能流失"
"se_softdeath_tooltip","If you die you won't lose any skill points.","你如果死亡，不會失去技能點。","如果你阵亡你不会流失技能点。 "
"se_spirit_name","Spirit","精神","精神"
"se_spirit_tooltip","Extra damage vs undead.","對鬼魂造成額外傷害。","对鬼魂造成额外伤害。 "
"se_stamina","Stamina","耐力值","耐力值"
"se_staminapotion_name","Stamina potion","耐力藥水","耐力药水"
"se_staminaregen","Stamina regen","耐力值恢復","耐力值恢复"
"se_staminaupgrade_name","Stamina upgrade","耐力值升級","耐力值升级"
"se_staminaupgrade_stop","You feel stronger","你感覺變強了","你感觉变强了"
"se_theelder_name","The Elder","古樹長老","古树长老"
"se_theelder_start","The Elder's power surges through you.","古樹長老的力量在你身體裡湧動","古树长老的力量在你身体里涌动。 "
"se_theelder_tooltip","Faster wood cutting.","更快砍倒樹木。","伐木速度加快。 "
"se_trollseteffect_name","Sneaky","鬼鬼祟祟","不易被发现"
"se_trollseteffect_tooltip","Makes you more sneaky.","更加隱蔽，使你更難被敵人發現。","使你更隐蔽。 "
"se_warm_name","Warm","温暖","温暖"
"se_warm_start","You feel warm","你感覺暖和","你感觉暖和"
"se_warm_tooltip","You are warm.","暖暖的。","你感觉暖和。 "
"se_wet_name","Wet","潮濕","湿"
"se_wet_repeat","You are wet","你濕透了","你湿透了"
"se_wet_start","You are wet","你濕透了","你湿透了"
"se_wet_stop","You are dry again","你乾了","你身上又干了"
"se_wet_tooltip","Lowering your health and stamina regeneration.","使你的生命值和耐力值恢復速度變慢。","使你的生命值和耐力值恢复速度变慢。 "
"se_wishbone_name","Wishbone","願望骨","愿望骨"
"se_wishbone_start","You can sense hidden objects","你能覺察到隱藏的寶物","你能觉察到隐藏的宝物"
"se_wishbone_tooltip","Helps you find hidden things. Move in the direction the pings get more intense.","幫助你找到隱藏寶物。 越接近寶物，提示音會越緊湊。","帮助你找到隐藏宝物。 越接近宝物，提示音会越紧凑。 "
"se_yagluth_name","Yagluth","亞格魯斯","亚格鲁斯"
"se_yagluth_start","The cosmic powers of Yagluth.","亞格魯斯的宇宙之力","亚格鲁斯的宇宙之力。 "
"se_yagluth_tooltip","Resistance VS magic damage and lightning damage.","減少受到的魔法和閃電傷害。","减少受到的魔法和闪电伤害。 "
"settings_altplace","Alternative Placement","切換放置模式","替代放置"
"settings_antialiasing","Anti-Aliasing","反鋸齒","抗锯齿"
"settings_apply","Apply","應用","应用"
"settings_attack","Attack","攻擊","攻击"
"settings_audio","Audio","音效","音频"
"settings_autorun","Auto-Run","自動奔跑","自动奔跑"
"settings_backward","Backward","後退","后退"
"settings_block","Block","格擋","格挡"
"settings_bloom","Bloom","泛光","泛光"
"settings_buildcat","Build Category","建造類別","建造类别"
"settings_buildmenu","Build Menu","建造選單","建造菜单"
"settings_buildnext","Next Build Item","下一個建造物品","下一个建造物品"
"settings_buildprev","Prev Build Item","上一個建造物品","上一个建造物品"
"settings_ca","Chromatic Aberration","色差","色差"
"settings_camerashake","Camera Shake","鏡頭晃動","镜头晃动"
"settings_continousmusic","Continuous Music","音樂循環","音乐循环"
"settings_controls","Controls","操作","控制"
"settings_crouch","Crouch","蹲下","蹲下"
"settings_dodge","Dodge","閃避","闪避"
"settings_dof","Depth of Field (DOF)","景深（DOF）","景深（DOF）"
"settings_draw","Draw","拉弓","拉弓"
"settings_forward","Forward","前進","前进"
"settings_fullscreen","Fullscreen","全螢幕","全屏"
"settings_gamepadenabled","Gamepad Enabled","啟用控制器","启用手柄"
"settings_gp","Forsaken Power","放逐之力","放逐之力"
"settings_graphics","Graphics","圖形","图像"
"settings_guicale_note","Minimum screen resolution 2560x1440","最低螢幕解析度2560x1440","最低屏幕分辨率2560x1440"
"settings_guiscale","Scale GUI","縮放圖形界面","缩放图形界面"
"settings_hide","Hide/Show Weapon","隱藏/顯示武器","隐藏/显示武器"
"settings_high","High","高","高"
"settings_inventory","Inventory","背包","物品栏"
"settings_invertmouse","Invert Mouse","反轉滑鼠","倒置鼠标"
"settings_jump","Jump","跳躍","跳跃"
"settings_langchange_community","*Community Translation","*社群翻譯","*社区翻译"
"settings_langchange_notice","Game restart is required when changing language.","切換語言後需要重啟遊戲","切换语言后需要重启游戏"
"settings_language","Language","語言","语言"
"settings_left","Left","向左","向左"
"settings_lights","Particle Lights","粒子光照","粒子光照"
"settings_lod","Draw Distance/Level of Detail","繪製距離/詳細程度","绘制距离/详细程度"
"settings_low","Low","低","低"
"settings_map","Map","地圖","地图"
"settings_mastervol","Volume","音量","音量"
"settings_medium","Medium","中","中"
"settings_misc","Misc","其他","其他"
"settings_motionblur","Motion Blur","動態模糊","动态模糊"
"settings_mousesens","Mouse Sensitivity","滑鼠靈敏度","鼠标灵敏度"
"settings_musicvol","Music Volume","音樂音量","音乐音量"
"settings_quickselect","Right-Click Build Selection","右鍵點擊建造選項","右键点击建造选项"
"settings_remove","Deconstruct","拆除","拆除"
"settings_requirerestart","Requires restart","需要重啟","需要重启"
"settings_res","Resolution","解析度","分辨率"
"settings_resetcontrols","Reset Controls","重設控制","重置控制"
"settings_resok","Does this work correctly?","運作正常嗎？","这个可以正常运作吗？"
"settings_right","Right","向右","向右"
"settings_run","Run","奔跑","奔跑"
"settings_secondaryattack","Secondary Attack","次要攻擊","备用攻击"
"settings_sfxvol","Effect Volume","特效音量","效果值"
"settings_shadowquality","Shadow Quality","陰影品質","阴影质量"
"settings_shipcameratilt","Immersive Ship Camera","沉浸式船用攝影機","沉浸式船用摄像头"
"settings_showkeyhints","Show Key Hints","顯示按鍵提示","显示关键提示"
"settings_sit","Sit","坐下","坐下"
"settings_softpart","Soft Particles","軟粒子","软粒子"
"settings_ssao","SSAO","SSAO","SSAO"
"settings_sunshafts","Sun Shafts","光照","光照"
"settings_tesselation","Tessellation","曲面細分","曲面细分"
"settings_test","Test","測試","测试"
"settings_use","Use","使用","使用"
"settings_vegetation","Vegetation Quality","植被品質","植被质量"
"settings_veryhigh","Very High","非常高","非常高"
"settings_vsync","VSync","垂直同步","垂直同步"
"settings_walk","Toggle Walk","切換行走","切换行走"
"settings_zoomin","Zoom In","放大","放大"
"settings_zoomout","Zoom Out","縮小","缩小"
"ship_holdfast","Hold fast","扶住","Hold fast"
"ship_karve","Karve","維京船","维京船"
"ship_longship","Longship","維京長船","维京长船"
"ship_raft","Raft","木筏","木筏"
"skill_axes","Axes","斧","斧"
"skill_axes_description","Damage with axes.","斧傷","斧伤"
"skill_blacksmithing","Blacksmithing","鑄造","铸造"
"skill_blocking","Blocking","格擋","格挡"
"skill_blocking_description","Damage absorbed when blocking with a weapon or shield.","用武器或盾牌格擋住的傷害","用武器或盾牌格挡住的伤害"
"skill_bows","Bows","弓","弓"
"skill_bows_description","Damage with bows.","被劍射傷","被剑射伤"
"skill_clubs","Clubs","棍","棍"
"skill_clubs_description","Damage with clubs.","棍傷","棍伤"
"skill_cooking","Cooking","烹飪","烹饪"
"skill_firemagic","Fire magic","火法","火法"
"skill_firemagic_description","Write something","寫點什麼吧","写点什么吧"
"skill_frostmagic","Frost magic","冰法","冰法"
"skill_frostmagic_description","Write something","寫點什麼吧","写点什么吧"
"skill_jump","Jump","跳躍","跳跃"
"skill_jump_description","Jump height.","跳躍高度","跳跃高度"
"skill_knives","Knives","刀","刀"
"skill_knives_description","Damage with knives.","刀傷","刀伤"
"skill_pickaxes","Pickaxes","鎬","镐"
"skill_pickaxes_description","Damage with pickaxes.","鎬傷","镐伤"
"skill_polearms","Polearms","長柄武器","长柄武器"
"skill_polearms_description","Damage with polearms.","長柄武器傷","长柄武器伤"
"skill_run","Run","跑","跑"
"skill_run_description","Speed and stamina drain when running.","跑步時速度和耐力消耗","跑步时速度和耐力消耗"
"skill_shields","Shields","盾","盾"
"skill_shields_description","not used.","未使用。","未使用。 "
"skill_sneak","Sneak","潜行","潜行"
"skill_sneak_description","Stamina drain and stealthiness when sneaking.","潜行時耐力消耗和隱身性。","潜行时耐力消耗和隐身性。 "
"skill_spears","Spears","矛","矛"
"skill_spears_description","Damage with spears.","矛傷","矛伤"
"skill_swim","Swim","游泳","游泳"
"skill_swim_description","Stamina drain when swimming.","游泳時耐力消耗","游泳时耐力消耗"
"skill_swords","Swords","劍","剑"
"skill_swords_description","Damage with swords.","劍傷","剑伤"
"skill_unarmed","Unarmed","赤手空拳","未命名"
"skill_unarmed_description","Damage when unarmed.","無護甲時受到的傷害","无护甲时受到的伤害"
"skill_woodcutting","Wood cutting","伐木","伐木"
"skill_woodcutting_description","Axe damage when hitting trees.","伐木被砍傷","伐木被砍伤"
"skill_woodworking","Woodworking","木工","木工"
"store_buy","Buy","買","购买"
"store_sell","Sell","賣","售卖"
"store_topic","Store","商店","商店"
"tool_cart","Cart","雙輪貨車","板车"
"tutorial_altar_label","Hugin: Forsaken altars","福金：被遺忘的祭壇","福金：被遗忘的祭坛"
"tutorial_altar_text","You have found the summoning place of one of the Forsaken. Make the correct offering at their altar and they will come.\n\nBe wary though, the Forsaken are not easy prey. So craft a wicked weapon, don your finest armor, and eat a hearty meal before engaging them in combat.","你找到了召喚被遺忘者的祭壇，在祭壇獻上正確的祭品他們便會出現。 \n\n注意！被遺忘者們可不是輕易被降服的。 在戰鬥前你需要製造強勁的武器，穿上最堅固的護甲和好好大吃一頓，","你找到了召唤被遗忘者的祭坛，在祭坛献上正确的祭品他们便会出现。 \n\n注意！被遗忘者们可不是轻易被降服的。 在战斗前你需要打造有威力的武器，穿上最坚固的护甲和好好大吃一顿，"
"tutorial_altar_topic","Calling forth the beast","召喚著神獸","召唤着神兽"
"tutorial_bed_label","Hugin: Settling in","福金：定居","福金：定居"
"tutorial_bed_text","Sleep the night away in your bed and awaken feeling refreshed and full of energy.\n\nAnother improvement to your home would be some chests where you can store items. <color=yellow>It is good practice to always have some spare equipment</color>, if something unfortunate should happen to you while exploring...","晚上好好的睡一覺，醒來時才能有滿滿的力量和振作的精神來迎接新一天的挑戰。 \n\n有家的另一個好處就是，你可以製作一些儲藏箱存放物品。 <color=yellow>你最好隨時都有一些備用的武器和裝備</color>，以備不時之需，比如你在探索時不幸出了什麼意外....","晚上好好的睡一觉，醒来时才能有满满的力量和振作的精神来迎接新一天的挑战。 \n\n有家的另一个好处就是，你可以制作一些可以保存物品的宝箱。 <color=yellow>你最好随时都有一些备用的武器和装备</color>，以备不时之需，比如你在探索时如果不幸出了什么意外...."
"tutorial_bed_topic","A headrest for the weary!","好睡床，不睡嗎？","睡吧，睡吧我亲爱的宝贝！"
"tutorial_blackforest_label","Hugin: Black forest","福金：黑暗林山","福金：黑暗林山"
"tutorial_blackforest_text","You have wandered into Black forest. This place can be very dangerous for those unprepared for it. Prove your worth by slaying Eikthyr.","你遊蕩到了黑暗林山。 在沒有準備好的情況下來到這裡是非常危險的。 擊敗赤血靈鹿證明你有資格進入這裡。","你游荡到了黑暗林山。 在没有准备好的情况下这里是非常危险的。 你必须击败赤血灵鹿才能获得探索这里的资格。 "
"tutorial_blackforest_topic","Turn back! This is a dangerous place","快回去，這裡非常危險。","快回去，这里非常危险。 "
"tutorial_bosstrophy_label","Hugin: Forsaken trophy","福金：被遺忘者戰利品","福金：被遗忘者战利品"
"tutorial_bosstrophy_text","Return to the Sacrificial Stones with your Forsaken trophy and offer it as a sacrifice to make the Gods smile upon you.","帶著你獲得的被遺忘者戰利品返回獻祭石並獻祭，這樣才能讓眾神對你另眼相看。","带着你获得的被遗忘者战利品返回献祭石并献祭，这样才能让众神对你另眼相看。 "
"tutorial_bosstrophy_topic","Congratulations, warrior!","恭喜！戰士！","恭喜！战士！"
"tutorial_cold_label","Hugin: Cold","福金：寒冷","福金：寒冷"
"tutorial_cold_text","When the temperature drops at night, or if you are wet, you will suffer from being cold. This reduces your stamina regeneration.\n\nSeeking shelter by an open flame is your best option when this happens.","當黑夜來臨而溫度下降，或者你濕了，你會感覺到非常寒冷。 這會讓你的耐力值恢復速度變慢。 \n\n找到靠近火源的庇護所是解決這個問題最好的辦法。","当夜晚来临温度降低，或者你湿了，你会感觉到非常寒冷。 这会让你的耐力值恢复速度变慢。 \n\n找到靠近火源的庇护所是解决这个问题最好的办法。 "
"tutorial_cold_topic","Be wary of the weather","注意天氣","注意天气"
"tutorial_crypt_label","Hugin: Dungeons","福金：地下城","福金：地下城"
"tutorial_crypt_text","Delves and dungeons can be found across the 10th World. They are monuments of the past, and most often filled with the riches of civilizations long lost.\n\nRemember to bring a light source!","在第十大神界中可以找到地洞和地下城。 它們是過往的紀念碑，而且大多數的地洞和地下城都藏滿了早已遺失的文明和寶藏。 \n\n請記得帶上光源！","在第十大神界中可以找到地洞和地下城。 它们是过往的纪念碑，而且大多数的地洞和地下城都藏满了早已遗失的文明和宝藏。 \n\n请记得带上光源！"
"tutorial_crypt_topic","Treasures lie below","寶藏都在地下","宝藏都在地下"
"tutorial_death_label","Hugin: Death","福金：死亡","福金：死亡"
"tutorial_death_text","Each time you are struck down, you will <color=yellow"">forget a small part of your abilities and drop your belongings</color> at the site of the accident.\n\nIf you wish you were home by now I'd recommend <color=yellow"">building a bed</color>, wherever home may be.","每一次你被擊倒, 你都會在你陣亡的地方<color=yellow"">遺失你的物品和忘記一小部分技能</color> 。 \n\n如果你希望自己在家醒來的話那我建議你<color=yellow"">造一張床</color>, 因為床在哪裡，家就在哪裡。","每一次你被击倒, 你都会在你阵亡的地方<color=yellow"">丢失你的物品和忘记一小部分技能</color> 。 \n\n如果你希望自己现在在家醒来那我建议你<color=yellow"">造一张床</color>, 因为床在哪里，家就在哪里。 "
"tutorial_death_topic","You suffered a mortal blow!","你遭到了致命的攻擊！","你遭到了致命的攻击！"
"tutorial_food_label","Hugin: Food","福金：食物","福金：食物"
"tutorial_food_text","You have found a snack, consume it to improve your health and stamina.\n\nBe aware that before long you will grow hungry again, so try to always have at least a couple of different meals ready.","你發現了一種小吃，吃掉它會強化你的生命值和耐力值。 \n\n需要注意的是，你會定期感到飢餓，所以最好隨身攜帶幾種不同的食物哦。","你发现了一种小吃，吃掉它会强化你的生命值和耐力值。 \n\n需要注意的是，你会定期感到饥饿，所以最好随身携带几种不同的食物哦。 "
"tutorial_food_topic","A tasty morsel!","齒頰留香！","舌尖上的英灵神殿！"
"tutorial_guardstone_label","Hugin: Ward","福金：守護石","福金：守护石"
"tutorial_guardstone_text","The Ward emits a strong aura that prevents other vikings from building things. It also locks all doors within its influence.","這塊帶著強大光環的守護石能阻止其他維京戰士在區域內建造或拆除。 它也能鎖上區域内所有的門。","这块带着强大光环的守护石能阻止其他维京战士在区域内建造或拆除。 它也能锁上区域内所有的门。 "
"tutorial_guardstone_topic","You have built a Ward","你建造了一塊守護石","你建造了一块守护石"
"tutorial_hammer_label","Hugin: Hammer","福金：工具錘","福金：工具锤"
